,AK,AL,AR,CA,CO,CT,GA,IA,ID,IL,IN,KS,KY,LA,MA,ME,MI,MN,MO,MT,NC,NE,NH,NM,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2006-01-01,1.764991,456.078734,17.834167,137.362378,44.105631,11.478297,11.238675,1.627115,135.703269,11.913254,32.332706,0.962,13.164,53.694,43.557824000000004,153.39039300000002,51.40597900000001,31.648289000000005,4.018758,67.93122500000001,58.493578,10.459885,33.988468,7.9148700000000005,242.07181799999998,0.324289,18.810796000000003,3111.559177,321.073792,0.56777,65.600466,32.778,185.896,0.625,8.773324,35.15394500000001,50.202906,1540.4671669999998,39.413796,148.931397,5.692485
2006-02-01,1.548497,513.555652,19.951875,123.12651100000002,41.814464,10.350031,9.860316000000001,1.4671760000000003,119.05785200000001,10.434743000000001,36.489608,0.516,25.379,82.036,41.520038,135.39491099999998,45.786048000000015,27.393153000000005,1.968555,71.797743,45.563945,9.431725,28.936777000000003,6.944028,218.40672800000004,0.29241300000000003,19.582094,2883.797528,228.63240700000003,0.511961,59.152231000000015,34.455,152.455,0.473,7.697185000000001,31.719184999999992,45.17872700000001,1422.7805990000004,34.861816,116.04759299999999,5.135319000000001
2006-03-01,1.664307,394.066219,32.048627,136.58959600000006,46.575405,9.118523,8.455957,1.2926030000000002,127.96201699999997,11.019556,32.866468,0.828,23.583,78.947,36.607486,129.686879,40.674390999999986,24.436744000000004,0.09296800000000001,72.570132,31.361492,8.309483,23.883170000000003,7.463362,192.21333800000002,0.25762,16.505110000000002,2825.3726619999998,162.01939900000002,0.45104500000000003,52.113951,38.582,102.057,0.557,8.272846000000001,27.099451000000002,38.805496999999995,1558.3615280000001,30.141300999999995,95.677132,4.517529000000001
2006-04-01,2.00924,333.942994,32.426677,153.89798499999998,45.65136600000001,9.925214,8.881254,1.406956,154.48257199999995,12.387159000000002,31.593216,0.864,20.712,81.966,47.503,130.96098500000002,43.97929,25.057296000000004,0.212972,94.482111,35.224363,9.044599,30.737697,9.010169,209.55083600000006,0.280411,20.517896999999998,3214.093772,178.02488299999996,0.490947,56.724326,39.169,118.602,0.736,9.987420999999998,30.788714000000002,43.83494399999999,2157.4231250000003,32.008347,126.578187,5.229898
2006-05-01,2.168238,290.16643,116.3385,155.81007599999998,43.313794,11.734905000000003,10.237154,1.66349,166.707299,13.856948000000001,49.084022,0.887,26.722,100.98,44.482116999999995,148.59685000000005,51.15018400000002,28.32173,4.635714,92.266656,39.461299,10.693726,31.314063,9.723173999999998,247.7410249999999,0.33153900000000003,80.02809899999998,3242.481874000001,173.201288,0.5804630000000001,67.067027,52.943,88.381,0.301,10.777759,34.256666,50.122947,2341.696168,37.19200499999999,105.24887,9.517796
2006-06-01,2.239481,160.368478,38.485921000000005,175.680422,46.776969,11.530308000000002,10.055838,1.6344880000000002,172.184928,13.263853000000001,51.718563,0.888,25.194,51.132,47.417744,145.73563700000003,48.955303,28.246218000000002,3.6909520000000002,84.49589200000001,37.04612099999999,10.507282,32.197368,10.042654999999998,242.94571699999995,0.325759,29.381933999999998,2937.552834,193.55705499999996,0.570343,65.89772300000001,63.508,95.911,0.556,11.131891,33.00009300000001,49.210709,1706.675526,36.536552,97.579598,9.842492
2006-07-01,1.829938,150.55316000000002,30.79021,143.62983000000006,48.622558,12.091104000000001,10.722607999999997,1.7139840000000002,140.69672599999998,13.555889,53.866234,1.171,23.224,32.364,34.409157,148.05306600000003,50.872919999999986,27.230366,27.966041,76.780256,38.53128000000001,11.018322,31.997436,8.206111,255.19808899999998,0.341602,28.021043000000002,1889.6347669999998,218.02585000000002,0.598083,69.102773,69.327,93.564,0.446,9.096155000000001,36.001752,51.56842,905.819267,38.753677,125.73951500000001,10.298907
2006-08-01,1.500467,196.54391999999999,28.532468,120.66505800000002,39.718805999999994,12.003732,10.386012000000001,1.7015980000000002,115.36498999999999,13.349771,49.080879,0.823,17.414,18.861,34.388063,141.58072700000002,50.14504800000001,25.953319999999994,24.235715,51.600297,39.92439,10.938701000000002,22.363492000000004,6.728642,252.6800710000001,0.339134,27.229939,1359.2979780000003,115.101193,0.5937610000000001,68.60342400000002,77.608,164.936,0.517,7.458439,33.887805,49.291439,618.667506,37.831851,78.419891,10.145218000000002
2006-09-01,1.09999,178.853186,19.175125,97.258469,32.510343999999996,7.791844000000001,7.320149000000001,1.104539,84.57392700000001,10.66806,46.226243000000004,1.049,27.638,19.442,17.132247,106.94197700000001,33.480737,18.736289,7.186026,47.933512,35.58757100000001,7.100511,13.253783999999998,4.932759,164.06795100000002,0.220138,16.397102999999998,1584.461319,171.46475,0.385421,44.53174,72.57,109.757,0.536,5.467772,22.899063,31.555576000000006,691.903424,25.989952000000002,79.515671,7.56415
2006-10-01,1.040309,243.069348,22.575039,89.37194199999998,13.464973000000002,6.8690609999999985,7.140131,0.9737290000000001,79.985307,10.351234,34.58337,0.713,12.714,44.886,35.882626,107.478504,31.303864000000004,19.081909000000003,4.660589,53.625027,26.547686000000002,6.259603,22.779791,4.665129,144.82394399999998,0.19406700000000002,13.255694000000002,1684.72202,165.83289899999997,0.339776,39.257878000000005,40.704,127.786,0.38,5.171113,20.973046,31.901831,685.988372,24.613333,96.337391,4.508732
2006-11-01,1.2070999999999998,450.081226,44.009682999999995,100.06532199999998,12.411140999999999,8.04594,8.621351,1.140558,92.809168,10.650083,32.301394,0.427,8.659,74.94,46.228135,124.44333800000001,37.02853000000001,23.121329000000003,2.4879729999999998,72.295283,38.050024,7.332064,29.795533,5.4130780000000005,169.66645600000004,0.22731700000000002,17.069213,1756.1051479999999,252.168919,0.39799,45.983948000000005,31.528,175.051,0.415,6.000184999999999,25.150254999999998,37.809502,866.0939920000001,29.469114000000012,133.875112,3.988206
2006-12-01,1.309443,295.166652,79.92870699999999,108.67440699999999,31.582551999999996,8.520039,8.355555,1.2077650000000002,100.677947,10.273449,39.372293,0.521,15.449,73.967,47.892553,123.94238399999999,39.676711000000005,22.843138,9.162738,68.392865,37.802252,7.764099,29.379424,5.872024000000001,179.85601899999997,0.240711,29.107078,2485.561928,180.53956799999997,0.421441,48.693512999999996,36.009,128.257,0.195,6.508911,26.07599300000001,39.183318,1072.2563280000002,29.288972000000005,91.14164500000001,4.22327
2007-01-01,2.21849,548.95826,156.30142999999998,73.40917399999998,49.719536,8.239156,9.432943,1.145536,120.28164100000001,10.322182999999999,17.851084999999998,0.744,2.811,101.849,31.19686,135.192464,55.104524,14.838923000000003,76.813354,67.946464,125.31383999999998,11.66356,32.837554000000004,8.772704,171.31911,0.062102000000000004,106.480759,2997.3901859999996,270.35602500000005,0.43837200000000004,93.009462,36.009,206.389,0.177,6.757085999999999,51.98672,31.947311,1213.8912440000001,35.463032,157.4278,1.42491
2007-02-01,2.312496,253.874503,114.052485,66.28525200000001,34.034802,5.956425,6.423985000000001,0.7805070000000001,71.074599,7.460032999999999,42.581474,0.595,11.368,76.961,22.276535,121.40128299999999,26.346088000000005,9.097299999999999,84.595942,60.001623,47.058980000000005,11.441295,12.695827999999999,6.60829,135.912294,0.121411,66.291887,2322.157964,91.478917,0.316917,56.81372399999999,33.995,78.479,0.301,5.9536240000000005,27.411386000000007,20.228383,985.7567730000001,30.151714,101.998917,1.2618880000000001
2007-03-01,2.396507,213.806478,93.815312,76.93888499999998,43.04972500000001,6.902909999999999,7.317425,1.1377530000000002,106.62689599999999,11.324425999999999,15.658815999999998,1.279,1.225,100.008,38.460561,121.84616699999998,81.586141,19.205388000000003,27.717143,78.627802,56.438105,8.223981,22.222644,8.460647000000002,162.15088799999998,0.025235,75.072825,3276.749527,322.68967200000003,0.367276,87.60035200000002,28.84,70.151,0.38,4.702447,28.293156,27.692889,1522.3610530000003,36.824149999999996,162.631305,1.7369400000000002
2007-04-01,2.271154,120.879567,145.311699,72.248352,37.37396600000001,9.855834000000002,4.998099,0.9263170000000001,125.660157,14.056174,30.213376,1.116,3.544,104.998,46.679038,128.73666100000003,85.51636600000002,31.882098,28.784136,92.17365099999999,46.88691,9.221502000000001,38.10433000000001,10.438986000000002,142.03344099999998,0.063841,135.26942499999998,2726.660442000001,294.95838499999996,0.524389,38.129526,28.891,57.751,0.459,4.355408,40.756834000000005,35.670485,1087.900967,39.23569300000002,116.227993,5.512797
2007-05-01,2.1450050000000003,113.861166,102.05264600000001,82.35801399999998,30.829396,10.434699,6.294443,1.273617,187.36173900000006,10.940194000000002,50.509888999999994,0.648,22.713,117.993,50.30410100000001,143.87893200000002,49.033,34.45266300000001,39.411769,90.116589,29.068154,9.865379,36.33801100000001,12.607412,151.64768200000003,0.154631,152.407997,2917.9672760000003,171.802227,0.555188,44.605413,30.895,57.866,0.459,12.559699,12.852566999999999,31.943914999999997,1644.75233,36.957304,95.434984,7.214657
2007-06-01,2.1083119999999997,124.023981,98.014742,83.13744899999999,25.489033,6.189176,6.739622000000001,1.32542,148.014564,11.372717,44.491424,0.79,11.255,80.771,27.586830000000003,115.62665000000005,14.663822000000001,32.242289,59.106891000000005,91.361209,36.181796999999996,14.109542000000001,17.893756,11.408314,130.677924,0.121405,149.806936,2272.336591,69.877464,0.329301,40.110215999999994,48.364,91.274,0.604,6.345191000000001,26.796749,16.190797000000003,959.2669669999998,31.335293,59.36589,11.329215
2007-07-01,2.1301620000000003,125.94399899999999,58.651526,97.50844700000002,38.976037000000005,4.998251,7.319587000000001,1.108392,170.453711,11.011434,45.019906000000006,1.044,14.933,54.119,25.965826,88.00203,15.004188000000003,9.643043,42.248239999999996,70.952276,26.110419999999998,17.054222999999997,13.272307000000001,11.712484000000002,125.01588100000001,0.154825,142.01505600000002,1729.4073949999997,43.35123300000001,0.26593700000000003,34.187683,57.716,87.42,0.381,5.078524,27.419486,22.362789999999997,738.8868869999998,24.219015,52.49526,13.705347000000002
2007-08-01,1.8766020000000003,169.681085,133.88532199999997,82.88600700000002,53.164772,4.295022000000001,7.967808000000001,1.051529,133.536517,13.603133,50.363911,1.303,22.122,36.131,12.588199000000001,87.15892400000003,17.933531,8.85952,45.806598,47.882202,41.91788500000001,15.602129999999999,5.499701,9.731729999999999,125.235283,0.185804,153.814258,1400.1493310000003,59.167578,0.228521,32.375244,58.218,121.14,0.085,4.715272000000001,25.447854,11.041021,598.5958570000004,24.056274,27.631216000000002,14.104837
2007-09-01,1.403683,99.01534,112.003682,65.16863000000001,49.02962,4.098693,6.723231,1.229741,87.17345799999998,11.322401,33.209917999999995,1.149,8.348,44.12,7.543919,90.190404,11.594952,17.436490000000003,19.68977,48.46358,18.199085,9.861914,5.441014999999999,7.152064,117.65665800000002,0.12643300000000002,91.047155,1464.7134179999998,31.450127999999996,0.218075,30.037072000000002,48.621,51.86,0.0,4.594752000000001,21.700286000000002,7.7561290000000005,611.0498739999998,20.165252,39.25392900000001,5.763361
2007-10-01,1.444791,85.26061800000001,81.507137,56.67148500000001,50.61344499999999,5.370984000000001,7.2659579999999995,1.305126,59.26312300000001,8.323898999999999,37.638124,0.924,13.794,25.555,28.349055,89.57846200000002,20.340876,30.224821000000006,11.808532,52.807657,16.558545000000002,9.067244,13.873882,5.919128,121.56192100000003,0.112384,56.150497,1661.6794499999994,57.738401999999994,0.285768,25.983307,41.199,53.237,0.601,4.596687,13.599495000000001,19.818075,673.695328,34.64932199999999,44.126941,3.304169
2007-11-01,1.5391620000000001,81.966295,42.187777000000004,47.67663600000002,24.165027000000002,8.076305999999999,5.964272,1.271859,50.321323000000014,6.832072,52.401407999999996,0.429,21.709,32.278,43.382667,126.58883800000002,14.845556,50.107864,6.669804,49.300633999999995,12.595502,6.70146,26.418481,5.599505,134.410025,0.19542700000000002,32.023138,1922.882986,143.47532100000004,0.42970800000000003,22.722717000000003,25.454,35.601,0.626,4.452692999999999,13.632802,31.980404999999998,722.6227529999999,25.239853999999994,83.498823,1.337002
2007-12-01,1.711634,81.79570600000001,94.271242,47.037709999999976,16.486641,7.6034429999999995,4.337627,1.124204,68.78927700000001,9.427698,29.996669,0.48,7.174,51.859,45.75140999999999,129.364221,50.19462100000001,34.473444,18.37182,69.89931299999999,16.875778,10.06677,22.662961,7.285737,141.48686900000004,0.08650200000000001,64.720069,2335.8524359999997,256.044648,0.404548,24.714285,36.234,35.755,0.173,3.6526170000000002,15.891382,32.990798999999996,962.316966,27.34071,124.02994,1.3118779999999999
2008-01-01,1.6306090000000002,348.13526399999995,96.956428,54.86419400000002,43.463884,10.564807000000002,7.546442000000001,0.889383,72.92509200000002,10.613955,44.336375,0.7381740000000001,17.305749,75.212,47.330221,138.233253,42.412193,31.088393999999997,28.636848,53.619332,18.912753,51.313853,26.884335999999998,10.051973,163.587863,0.280216,86.835598,2640.6877060000006,249.413435,0.391531,32.292501,,60.468637,0.022964000000000002,4.871659,17.331285000000005,50.947680999999996,1014.9528790000002,40.917789,123.525649,4.663328000000001
2008-02-01,1.77118,420.14946,124.901185,43.37785200000001,28.000461,10.911768,8.850282000000002,0.9892150000000001,61.191059,10.641301,20.429529000000002,0.821033,17.206606,75.215,47.248334,140.18850200000003,45.68054600000001,17.343066000000004,38.587604,53.120897,21.110673,54.858284,25.207657999999995,9.357477000000001,136.74036499999994,0.100589,129.07787499999998,2259.4652340000002,300.790173,0.404389,38.39027899999999,,114.905708,0.300411,4.535076,15.739992,47.02286900000001,882.5378449999998,19.764418000000003,102.089679,4.341133
2008-03-01,1.710378,503.719603,80.645698,50.48486400000001,50.53643,12.394511999999999,8.061383,1.114617,93.24901799999999,11.319347,7.120046,0.925115,24.110367,104.356,51.586235,149.17758500000002,48.9489,27.962623,140.961004,50.570063000000005,26.430623999999995,40.724294,20.082604,11.827704,177.25203899999994,0.030176,162.73436900000002,2503.6305769999994,350.94783400000006,0.45934,34.451735,,130.508809,1.118718,5.732264,18.490232,56.117534,1187.4354510000003,9.922316000000002,157.69288699999998,5.4871229999999995
2008-04-01,1.6390149999999999,272.61712800000004,77.06381700000001,96.635533,46.17294700000001,15.298965,6.810202,1.327521,135.724274,11.474962999999999,34.663213000000006,1.101822,22.410888,125.592,44.110875,135.623616,58.607699999999994,30.606004000000006,157.30194699999998,54.094135,29.337259000000003,59.055045,45.145711999999996,13.959239000000002,161.103806,0.20104500000000003,189.427535,1906.9254829999998,269.99583400000006,0.566979,40.935570000000006,,113.662723,1.478597,6.765307000000001,26.724190000000007,56.195783000000006,957.911242,32.591114000000005,117.486827,6.475987
2008-05-01,1.2119750000000002,208.908546,91.88642,112.75569300000001,56.04148800000001,11.238534000000001,7.067245,1.139304,133.308459,10.722814,35.064626000000004,0.945605,15.939870999999998,133.269,39.231812000000005,132.72461499999997,30.886213,33.1084,91.032105,94.94770400000002,19.186695000000004,45.648574,27.722517000000003,16.535148999999997,168.52341600000003,0.205953,183.63651900000002,3018.8062820000005,247.26958000000002,0.416499,36.354581,,54.915929000000006,0.924457,8.013714,29.403742,43.075417,1925.1814789999996,32.15370299999999,171.792307,7.671007
2008-06-01,1.549255,132.37294500000002,97.073398,95.292049,44.373661000000006,10.779377000000002,6.467853,0.943382,185.366616,11.200016999999999,47.608093000000004,0.782992,9.664534999999999,124.981,34.739932,127.44158400000002,45.888436,50.939348,122.270008,108.49883300000002,17.165022999999998,26.068148,20.913364,20.796635000000002,155.014488,0.25209400000000004,162.25589300000001,3297.836959,92.200154,0.399483,32.30421200000001,,66.737061,0.809856,10.079033,22.914619,38.722804000000004,2211.9836809999997,41.053633,55.446342,9.648001
2008-07-01,1.121264,124.158073,129.815472,118.69576800000002,54.763735000000004,10.793767999999998,6.691457000000001,1.367809,172.75707199999997,8.377151000000001,54.411222,1.13526,7.195374000000001,129.568,34.908948,123.20593900000001,27.891170000000002,27.703201,130.974458,108.245463,16.342105,56.273564,23.859231000000005,18.836415000000002,164.11267299999997,0.35311400000000004,163.55036399999997,2136.6053969999994,75.80656700000002,0.40001600000000004,29.918649000000002,,69.246669,0.720395,9.129018,26.420068,36.155277999999996,1205.3371529999997,48.596822,55.638653,8.738613
2008-08-01,1.354036,246.62269799999999,154.07270799999998,122.05513099999999,31.094884,13.673705000000002,9.091262,1.3036320000000001,152.29062500000003,8.556177,41.446212,1.0819940000000001,9.763176000000001,91.534,45.452258,141.284444,24.910335000000003,11.626543000000002,75.096232,73.33416,27.180189999999996,80.766237,34.908856,15.354175999999999,156.67682299999996,0.26127300000000003,141.379519,1297.7430590000001,50.969255000000004,0.5067470000000001,28.636327,,106.91799,0.636569,7.441359000000001,24.426782000000003,48.61254400000001,686.39914,37.38627100000001,34.906895000000006,7.123128
2008-09-01,1.474117,122.62382199999999,94.98935900000001,64.31185000000002,52.590683,8.069262,8.915908000000002,1.1859450000000002,93.46984300000001,11.921764999999999,28.309755000000003,0.984315,7.7783299999999995,52.559,19.896729000000004,114.91026600000002,49.53393900000002,11.155121,101.058173,58.650119,21.377948,56.70403600000001,20.434649,11.331361000000001,141.76620899999998,0.194279,118.192658,1556.8646760000001,49.611782000000005,0.299046,32.461186999999995,,50.887266000000004,0.433336,5.491715,23.034626000000003,12.880786,723.2222989999999,29.205403999999994,37.320068,5.256859
2008-10-01,1.631331,125.708112,104.79445499999999,40.57366399999999,44.900988000000005,7.841572,9.20007,1.0003360000000001,59.852561,7.859193,30.783012000000003,0.8302630000000001,5.084199000000001,60.314,29.454344000000003,104.305674,17.404222,25.799243999999998,39.25310700000001,47.576685000000005,17.249592,58.5415,20.944430000000004,9.256821,145.08920200000006,0.17535599999999998,111.07908,1663.388455,50.856413,0.290608,32.357274000000004,,51.69761,0.17724,4.486293000000001,17.181033,29.264864000000003,675.52802,27.184636000000005,28.997404000000003,4.294434999999999
2008-11-01,1.3562420000000002,110.772708,91.35258400000001,27.422037,0.8315529999999999,10.641963,8.381813,0.553536,51.791603,6.070770000000001,47.3182,0.45942600000000006,4.967398,35.693,42.944954,128.90476200000003,21.376669000000007,19.44237,29.286514999999998,55.440777,11.903606,24.183045999999997,27.915551,9.204333,164.51780000000002,0.29725999999999997,66.738307,1986.8485349999999,89.377733,0.39438999999999996,31.520079999999997,,32.732952,0.08759,4.4608550000000005,8.358233999999998,49.334451,789.5886760000001,41.26911799999999,48.232513000000004,4.270085
2008-12-01,2.0995980000000003,632.2306410000001,48.875476,30.730365000000006,39.781286,12.087767000000001,8.168413000000001,0.92532,61.70177799999998,9.670547000000001,45.289717,0.768001,20.569507,56.08,50.568358,140.21812,39.24067699999999,28.969306,30.647999,76.21483200000002,43.047532000000004,57.133418999999996,30.319551999999998,11.157717,171.729636,0.210645,35.183283,2328.370637,267.73824,0.44797200000000004,44.255605,,155.29164600000001,0.332867,5.407557,17.336547000000003,50.775988999999996,853.797135,36.99394600000001,117.738776,5.1763010000000005
2009-01-01,1.971031,672.1768959999999,96.051399,36.026317,36.960686,11.700391,11.263671,0.892182,115.974108,8.403393,44.767848,0.844164,22.458502,100.881,37.828642,140.315126,29.440313,25.101506999999998,39.722265,70.74718800000001,56.98411600000001,9.846658999999999,31.916297,10.873613,160.68995000000004,0.186597,63.81448799999999,3036.3471799999998,179.08336399999996,0.411194,58.486968000000005,36.470953,203.626226,0.070009,5.710801999999999,36.698074999999996,41.499432,1233.6187860000002,29.254775,131.85472399999998,7.794736000000002
2009-02-01,2.133799,282.60053000000005,166.834165,50.713269999999994,34.033128000000005,9.807034000000002,9.042395,0.713799,81.01928899999999,9.573047999999998,29.92434,0.6753810000000001,17.224168000000002,87.382,30.532180999999998,129.51535300000003,42.740920999999986,25.607011000000007,56.866364999999995,61.148327,20.923308000000002,7.877915,23.867231,8.839698,147.61432399999998,0.102647,82.835499,2067.867095,183.748518,0.344654,31.343536000000004,23.372873,100.286556,0.046672000000000005,4.64259,17.702505999999996,41.081968,843.099946,19.909914,111.510405,6.336721000000001
2009-03-01,2.2552880000000006,605.0516700000001,82.28177099999999,83.88414700000001,45.529154999999996,13.158942999999999,13.143244999999999,0.76886,81.10852500000001,11.799377,37.802021999999994,0.7274780000000001,26.184493000000003,106.346,52.951676,139.961665,73.81851,51.09441,33.725928,61.7209,41.002702,8.485594,51.051527,10.247806,180.40143100000006,0.156725,72.63137400000001,2327.509582,252.88115200000001,0.462452,70.509136,34.044787,142.99474399999997,0.445838,5.3821270000000005,31.024104999999995,66.413366,1175.7205729999996,26.991195999999995,143.65332,7.346121000000001
2009-04-01,2.310107,511.95688499999994,122.10111,100.16245000000005,33.596546,14.504831000000001,13.35396,1.043194,194.89911999999998,12.977376,33.889452,0.987047,24.698656,125.916,47.476763000000005,136.43477800000002,116.28710000000001,47.28535,104.431682,77.519977,38.267027999999996,11.513315,65.60026800000001,13.767265,165.2398539999999,0.15437900000000002,171.849664,2687.7526000000003,239.195457,0.509752,64.75687300000001,35.29417,142.01568300000002,0.585373,7.230536,31.558947000000003,61.63855100000001,1544.8815260000001,26.705385,139.120755,9.869039
2009-05-01,1.742879,666.1437960000001,70.25530900000001,134.332554,52.575696,12.945632,11.599064000000002,1.289383,173.93025699999998,11.784523,39.080157,1.2199849999999999,23.880747,130.16,37.718379999999996,134.39510400000003,44.494295,68.019779,111.910326,116.98093399999999,60.518166,14.230399000000002,55.667693,15.567479,173.86784499999996,0.17979499999999998,189.481073,2832.4470660000006,219.784482,0.454956,57.205947,41.198978000000004,230.940553,0.971047,8.176006000000001,29.464068000000005,59.871537,2115.502986,28.095526000000007,162.34381,11.15952
2009-06-01,2.289725,251.171591,151.67614400000002,157.10796799999997,49.144229,9.851626000000001,11.975899000000002,1.386249,196.265565,11.471602,48.86238899999999,1.311638,16.16986,130.985,36.632836000000005,114.25614000000002,29.479465,50.25215899999999,26.733036,122.98932800000001,73.27751100000003,15.299466,38.392796000000004,16.784807,159.31822899999997,0.236036,163.90031999999997,2905.973392,198.79758900000002,0.346221,65.32604699999999,60.874957,125.30544000000002,0.6100599999999999,8.815343,49.442609999999995,43.761078999999995,2017.7230210000002,34.293,129.941426,12.03216
2009-07-01,2.270956,179.007755,108.28667499999999,156.785989,45.557716,13.391112,12.614525,1.317673,196.51425600000002,10.053028999999999,52.794183000000004,1.2467519999999999,11.564846,98.002,49.920727,135.73005500000002,12.610326999999998,28.655986000000002,31.466168000000003,96.59903799999998,29.198714,14.542620000000001,56.087462,14.851532,167.12718500000003,0.254558,88.89674,1593.8026620000003,125.396322,0.47061200000000003,41.81876900000001,69.715936,87.57390999999998,0.553042,7.799991,24.957398000000005,57.60188899999999,931.9485289999999,35.970248,74.131894,10.646294
2009-08-01,2.489093,235.271022,94.047279,108.63321599999999,15.056936,11.861127999999999,12.513268,1.3202,150.67462000000003,9.386376,46.803352,1.249144,13.444547,84.715,39.497413,139.90425600000003,14.324547000000004,21.809468000000003,32.796763,61.570468999999996,29.894909,14.570514,43.341648,11.993052,163.141286,0.265463,90.774919,1135.4909989999996,165.96504199999998,0.41684200000000005,40.672947,73.964018,126.41560500000001,0.45222700000000005,6.298725,27.869073,33.397315,554.702861,34.346618,84.343919,8.597197
2009-09-01,1.8669149999999999,469.80258399999997,106.649049,82.378611,49.713420000000006,6.422987,14.999488,1.3869719999999999,99.625474,8.245258,42.564468999999995,1.3123220000000002,13.129756,58.477,13.435227,90.45752700000001,13.356083000000002,21.250443,27.005326,48.243068,42.048377,15.307451,16.406222999999997,9.11384,147.66350000000006,0.181789,125.972448,1385.1644500000004,81.89288900000001,0.225727,36.603561,81.24101300000001,123.97907300000001,0.220198,4.786568,26.941948999999997,12.640004,652.151793,27.794581,45.94704,6.53324
2009-10-01,2.978231,752.3718640000001,100.59928500000001,64.99984700000002,39.33741800000001,8.181700999999999,16.607992000000003,1.3945999999999998,70.32091699999998,8.974742,50.501322,1.319539,20.434030999999997,90.194,36.237379999999995,89.951363,27.582848999999996,20.60404,108.995339,53.187367,50.233239999999995,15.391636,33.393947999999995,8.576092000000001,153.2106950000001,0.224359,178.63389700000002,1568.488027,160.513063,0.287534,44.96865999999999,56.236367,202.580402,0.491256,4.504143,19.738359000000003,23.820093000000004,695.677607,33.48053300000001,125.23940300000001,6.147755000000001
2009-11-01,2.779798,737.42101,111.667681,42.852695000000004,2.329806,10.182386000000001,18.211991,0.9746840000000001,56.779755999999985,8.707726000000001,42.919422,0.9222250000000001,17.197675,110.183,46.96812499999999,103.52706399999998,33.52771200000001,58.40291000000001,71.99341700000001,58.20946,88.31188,10.757197,43.687795,8.589433000000001,165.63875299999998,0.285223,172.66788699999998,1954.8259290000005,177.34447299999997,0.357845,141.246094,26.146106,192.71072299999997,0.9465330000000001,4.511152,42.433344000000005,40.177068000000006,711.1842229999999,34.335371,99.82988800000001,6.157321
2009-12-01,3.2351780000000003,899.942397,101.28913299999999,50.474035999999984,29.869263999999994,12.753709000000002,29.413502,1.038204,69.68927299999999,9.01155,33.561044,0.982325,23.255719000000003,113.11,48.46228,134.51290899999998,30.827878,37.714487,44.080385,70.28494400000001,84.514049,11.458234000000001,49.147822,10.946382999999999,175.11839799999998,0.173429,77.079691,2328.7380179999996,261.000649,0.448211,227.09759200000002,45.776842,258.489085,1.0767449999999998,5.749017,68.261566,52.750697999999986,803.322189,24.779512999999994,158.352416,7.846896000000001
