,state,ba,interconnect
CA,CA,California,Western
WA,WA,Northwest,Western
OR,OR,Northwest,Western
ID,ID,Northwest,Western
MT,MT,Mountain,Western
WY,WY,Mountain,Western
NV,NV,Mountain,Western
UT,UT,Mountain,Western
CO,CO,Mountain,Western
AZ,AZ,Mountain,Western
NM,NM,Mountain,Western
TX,TX,Texas,Texas
ND,ND,Central,Eastern
SD,SD,Central,Eastern
NE,NE,Central,Eastern
KS,KS,Central,Eastern
OK,OK,Central,Eastern
MN,MN,MidwestN,Eastern
WI,WI,MidwestN,Eastern
MI,MI,MidwestN,Eastern
IA,IA,MidwestN,Eastern
MO,MO,MidwestN,Eastern
IL,IL,MidwestN,Eastern
IN,IN,MidwestN,Eastern
AR,AR,MidwestS,Eastern
LA,LA,MidwestS,Eastern
MS,MS,MidwestS,Eastern
TN,TN,Southeast,Eastern
AL,AL,Southeast,Eastern
GA,GA,Southeast,Eastern
NC,NC,Southeast,Eastern
SC,SC,Southeast,Eastern
FL,FL,Florida,Eastern
PA,PA,MidAtlantic,Eastern
NJ,NJ,MidAtlantic,Eastern
DE,DE,MidAtlantic,Eastern
MD,MD,MidAtlantic,Eastern
VA,VA,MidAtlantic,Eastern
WV,WV,MidAtlantic,Eastern
OH,OH,MidAtlantic,Eastern
KY,KY,MidAtlantic,Eastern
ME,ME,Northeast,Eastern
NH,NH,Northeast,Eastern
VT,VT,Northeast,Eastern
MA,MA,Northeast,Eastern
RI,RI,Northeast,Eastern
CT,CT,Northeast,Eastern
NY,NY,Northeast,Eastern