,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AL,0.0,612.9533739492991,2334.8146089553175,2996.4019031101493,1795.5164076395517,1547.3453969120278,1229.8021565969407,725.3711571794233,265.0253042521373,1113.8079586551214,2777.680230390024,933.571109661652,805.1935142437591,1017.9010606535139,589.093817877333,517.9584557906741,1699.3062869036296,1124.7231263074343,1885.8930176864246,1088.7082004014485,1445.380544588708,787.740489006411,290.6926597964059,2551.8423114884763,687.4682608541846,1830.077178699404,1236.4798558341993,1746.6747250788956,1361.8225459017028,1847.2156870169524,2747.4650831227154,1435.4455207513026,904.872010470072,973.8189704496027,3342.0095861020504,1192.3081318939915,1659.4197190347697,539.8804894465089,1595.3044833091565,315.85601916977186,1019.4067293458868,2386.820289440496,989.7274940091038,1730.9411680242833,3323.5814631914386,1170.0651758617958,845.0764252060791,1921.7115423453824
AR,612.9533739492991,0.0,1758.5169460067336,2395.947673178457,1185.0897811020156,1879.8799736509786,1600.5563106653547,1310.7349952722775,836.8079272779789,737.0492411911481,2177.16550460157,785.5466698973366,808.3885497430459,451.51446459904145,755.7639822439988,523.8487992605575,2025.558029087139,1493.1091656093345,2177.559504178717,1123.8885775833253,1092.7311585300176,375.34223319707326,470.3127820460552,1979.4855617749747,1177.1288366897827,1385.5750462483454,724.1575048137461,2052.4003395231653,1714.6952013117439,1258.4372876705638,2139.762654969041,1730.9550254168619,1072.2804808654203,366.0502769312988,2737.629709178241,1510.4785339652722,1999.0080132338605,1087.514254192955,1080.7578278328142,631.0708169918336,635.4223314013236,1774.9033276319242,1402.8534911779695,1970.3961734837585,2732.5753264805044,987.9657833947241,1151.2699374792992,1326.493728626502
AZ,2334.8146089553175,1758.5169460067336,0.0,729.2797509264185,925.1466623192563,3541.9041966062396,3303.780268348586,2922.0418119206893,2583.607242609791,1927.025506598522,1263.0757707856128,2254.567031161157,2400.9311269210702,1560.8733298216484,2456.4260403141334,1946.4269345570024,3673.822213243791,3200.9697287613853,3785.5449877963197,2642.853719107532,2063.321552611371,1859.0401960142722,2089.7191676123502,1480.8107243573493,2934.0357797574284,1913.8849204641774,1625.8526402136479,3681.5857108141727,3400.788125294649,507.5930505834394,615.0400962830001,3375.2276005403683,2708.4369797648324,1400.5797214316349,1581.729630005969,3188.241570917387,3659.4725140194287,2843.6476866270505,1599.2442082761108,2386.6305398323107,1406.988795924059,809.8486864666322,3135.343390811823,3544.426050907032,1762.0701476175755,2312.9153179033397,2854.1501013759985,1113.396778692408
CA,2996.4019031101493,2395.947673178457,729.2797509264185,0.0,1333.3774996392199,4060.0963406369947,3855.633019827682,3620.1575951756854,3232.5365445377397,2400.8340221747735,1026.945983556693,2760.515076001924,2935.4718090234774,2114.672249885466,3033.2457378205245,2646.838910412652,4179.885465018428,3758.6500905550374,4264.509652209868,3132.309780050673,2442.433235555205,2422.4545342239744,2770.9553815011686,1411.1279693435506,3549.2931536777596,2172.1914049517895,2096.3624611171144,4175.913034029729,3938.3103479846554,1154.994727881446,308.39977975597697,3887.5825267676573,3242.644735766015,2029.9312204190621,1069.7414058024626,3726.219093069358,4173.596639822232,3480.2086619299694,1951.3491457111465,3006.089904806533,2120.4405298353277,856.9602799065483,3714.4854828423386,4012.809882594464,1325.7994790628472,2766.1680141637635,3417.8950353998393,1396.2972779117033
CO,1795.5164076395517,1185.0897811020156,925.1466623192563,1333.3774996392199,0.0,2726.75058934599,2527.547456829872,2491.961560164976,1998.1366483762522,1067.8935752671064,1008.9052086585158,1427.6229495292923,1606.9869605328236,814.1947595170158,1723.2299053374745,1587.7544692689735,2846.83034270533,2432.7757201690615,2935.412633676954,1799.4907759922817,1148.3519058271536,1116.6626943797148,1632.940801058404,917.96056332746,2262.660197122422,997.8022708471303,762.9991517780129,2843.9931962867686,2606.828254314099,550.8296002712021,1037.9964181387477,2554.2071103737167,1912.480153782058,846.0822522379441,1557.8559562209566,2395.281979522142,2840.23262424977,2220.0849075994906,674.6051361974316,1736.1387550096524,1208.5407079707559,593.2538926265049,2398.3485666265433,2685.727096915068,1581.1967524978068,1438.70331847674,2096.4414797543936,263.53752601259566
CT,1547.3453969120278,1879.8799736509786,3541.9041966062396,4060.0963406369947,2726.75058934599,0.0,324.2422003852463,1698.9303266757481,1318.0414484718178,1660.7053127410784,3463.2375485561884,1300.3417972840055,1140.9802208590852,1981.0465326674746,1124.1944381613948,2057.3400501137276,151.96436501817794,423.9480434086719,351.4520421964299,932.6442368488968,1700.1100055274692,1686.1194827945224,1825.7944462726648,3087.4673504877933,904.6500930377117,2107.562594087026,1963.883202579762,208.7969528937494,188.7736621511,3037.1671789099396,3762.992683754696,174.60917478663035,834.2403085905556,2183.341125486082,4008.139346156486,370.11138416502837,119.30407964943673,1095.1051822496313,2162.1353449466164,1302.5967986593598,2482.1928297122804,3262.8707710760864,574.7884936344876,331.655443847872,3872.648866567744,1315.7881795531102,733.5636582619003,2702.032697731075
DE,1229.8021565969407,1600.5563106653547,3303.780268348586,3855.633019827682,2527.547456829872,324.2422003852463,0.0,1388.4533093701025,995.4458516457563,1478.9686432292103,3326.8522566709603,1107.9997352687126,920.6446793865078,1750.0287203297187,852.9141477510436,1743.4098442080256,474.36606105681574,108.27549088415313,674.5082762370839,789.8194649378125,1581.6396133579926,1446.0627647956508,1512.0138009966083,2973.6543446127243,580.5811976361134,2011.9779753396733,1771.7882105899819,531.7986644296906,135.48013305397308,2796.4796438365474,3565.1397827433066,275.1559418803216,616.4427810208327,1922.2813181515978,3884.027965133768,155.53322780319508,430.7581631165934,771.3697756788296,2010.8030941025897,1000.4244241151362,2185.9753756632713,3085.268518674898,250.61970889679355,592.3257741505349,3770.6914105704373,1176.912450419541,452.15747219357314,2530.3040073386746
FL,725.3711571794233,1310.7349952722775,2922.0418119206893,3620.1575951756854,2491.961560164976,1698.9303266757481,1388.4533093701025,0.0,643.8813992294547,1824.1536905736978,3487.8908306772587,1589.9351152858324,1415.3773303615321,1738.2618439522141,1169.2064084443816,975.6571854828816,1836.7558005111903,1314.0599560055603,2047.285074255272,1624.3539672243523,2138.2405553807516,1512.0139822221026,863.6170508969192,3275.130779068998,846.3933879193903,2541.4563808922985,1961.7590782619843,1906.2864776111624,1517.8837981733434,2466.333178209607,3393.774240664146,1656.7144260633966,1381.2438683242017,1649.8340883902868,4047.692850327505,1434.3912090413914,1783.3712032893047,671.3147832241233,2319.943266750885,941.923029491723,1521.249482059346,3076.398668044879,1150.6345593849753,1977.4699302895012,4040.917123956921,1814.971475820254,1205.0232978490142,2635.6811536873774
GA,265.0253042521373,836.8079272779789,2583.607242609791,3232.5365445377397,1998.1366483762522,1318.0414484718178,995.4458516457563,643.8813992294547,0.0,1202.1966782437482,2958.683252055462,946.9459986910492,772.5469171852094,1196.0189140940945,527.3496126359044,776.1553819661799,1469.3108732322755,894.3079562857376,1663.5781739835888,1002.243101576236,1501.4372339898305,926.8916450422827,553.8358826097749,2705.076962690384,431.5183513868605,1915.140505960287,1377.0778081556273,1522.177179961156,1129.9807188891907,2090.0524563525055,2975.773180939167,1220.9405423328803,777.7286845666861,1202.8338989339968,3526.887178420811,977.6431742820959,1426.0850319318981,274.8635173876825,1724.1260455778686,306.4810870181753,1284.2486829174702,2591.3899770589796,748.4779255407168,1528.5809734739732,3490.6914864552477,1171.0978055061357,657.6982659785475,2101.7417966457233
IA,1113.8079586551214,737.0492411911481,1927.025506598522,2400.8340221747735,1067.8935752671064,1660.7053127410784,1478.9686432292103,1824.1536905736978,1202.1966782437482,0.0,1864.3840420157726,371.4300937790188,574.6109310895055,446.45147596265315,758.9793791131181,1249.7158197280237,1779.055650739824,1390.9964436807606,1870.1636478511837,731.5973665681043,357.05776831460923,368.77550969785085,1131.9790855741392,1548.3807725485249,1321.1435933630823,717.5157476466786,306.1309005474932,1776.3580697002199,1548.2358548599943,1440.807836691658,2102.440575093424,1487.4769230566383,863.7213779603022,770.9730954220162,2430.148630397886,1339.296809274027,1773.2367181201234,1340.85394618142,553.7017856094784,896.0054163601814,1287.7703762534475,1607.6511420163636,1381.8180190429991,1623.2176938462405,2349.1770891197107,387.5632714500289,1073.3369976232323,1051.3364369205196
ID,2777.680230390024,2177.16550460157,1263.0757707856128,1026.945983556693,1008.9052086585158,3463.2375485561884,3326.8522566709603,3487.8908306772587,2958.683252055462,1864.3840420157726,0.0,2232.094862886879,2438.9732237280964,1764.1341040949023,2607.794372490051,2596.659523461686,3558.4129494621484,3245.800648986073,3598.7773943949715,2543.7027427303046,1763.298636923654,2038.8778218948107,2635.3522616497194,432.41233903574164,3168.520530245653,1381.6882600774525,1606.0952578824,3536.467450441308,3379.7932649825157,1299.9123517303306,790.2928919267554,3289.2805742228775,2720.09521443933,1852.240299883521,569.8136543804277,3179.470423471432,3565.2127035353337,3156.0515358648718,1317.3715921964892,2675.734280930581,2193.721663652991,507.28389059233706,3245.713557103831,3342.045336044839,578.2430068705905,2154.465909645232,2937.218578994779,857.2702287197039
IL,933.571109661652,785.5466698973366,2254.567031161157,2760.515076001924,1427.6229495292923,1300.3417972840055,1107.9997352687126,1589.9351152858324,946.9459986910492,371.4300937790188,2232.094862886879,0.0,213.86114898002953,703.611972181144,439.58714369040683,1219.5907370409896,1424.7696783920364,1019.5666877990823,1531.0724565194369,390.43962152141296,569.2138795084097,452.275868920798,1045.179337999539,1903.4408417197437,982.5640123629622,1004.643049571665,666.2547983230702,1428.3013447711098,1180.3518203213118,1755.8825288645419,2465.166592160462,1129.0165215129377,492.3181763332676,969.8339784838141,2795.9094184143783,970.0408208096105,1415.1252414315818,1031.7195071871936,916.0570091411865,650.9948625585783,1412.6607011361514,1977.5083955325529,1014.0136309427295,1292.7362290025471,2705.355089072122,237.24087904922862,705.735946506863,1422.5308947242413
IN,805.1935142437591,808.3885497430459,2400.9311269210702,2935.4718090234774,1606.9869605328236,1140.9802208590852,920.6446793865078,1415.3773303615321,772.5469171852094,574.6109310895055,2438.9732237280964,213.86114898002953,0.0,840.1089483424234,246.5731706847642,1167.938809500839,1274.66943994869,826.3305671700542,1401.4340953034703,320.5726585530705,777.7678130581309,548.3657428989491,968.2175478717934,2115.70455201743,770.0021335370454,1216.1576710712204,854.6954468172582,1287.6600274239697,1004.9401304961963,1896.3654073569066,2644.49556304184,975.4527098586273,308.63566780823356,1060.0534136689816,3004.337681146573,792.1420855428911,1258.7180455637135,828.4702354195131,1125.501457376965,497.91698679088694,1443.343283590214,2169.3216544248,807.5076747911745,1177.6838286955797,2917.563997181749,404.208646095874,499.2144993840772,1619.4883980200377
KS,1017.9010606535139,451.51446459904145,1560.8733298216484,2114.672249885466,814.1947595170158,1981.0465326674746,1750.0287203297187,1738.2618439522141,1196.0189140940945,446.45147596265315,1764.1341040949023,703.611972181144,840.1089483424234,0.0,918.6549626376178,961.7785253207967,2113.3985639721163,1649.8603229981675,2230.8057352165238,1093.9588985273947,752.662084900166,307.7911967607829,920.0678800451914,1537.7852576656728,1449.0144441915609,963.1036814912881,291.76581859304565,2122.9828937903185,1842.2797819243626,1057.1890232308444,1833.6995593533645,1814.5674201830275,1147.9904398559802,332.4494883687439,2331.4144639273463,1629.4250410653867,2098.607391584248,1407.8384369546052,634.0633816903073,923.6358292103491,868.258452445451,1404.4323070181954,1599.9069500148642,1995.580714665386,2305.7427551135843,814.0250530439669,1305.8126297410154,906.8709109974245
KY,589.093817877333,755.7639822439988,2456.4260403141334,3033.2457378205245,1723.2299053374745,1124.1944381613948,852.9141477510436,1169.2064084443816,527.3496126359044,758.9793791131181,2607.794372490051,439.58714369040683,246.5731706847642,918.6549626376178,0.0,1013.2453921392644,1269.870188841435,747.4799661542204,1425.6961814127544,499.71267571568603,1008.2967848065855,610.8774543267225,795.0402882484682,2306.3367666117515,563.0343372846247,1440.2025596164149,1003.000734098655,1298.090229817618,961.5622399661767,1948.837677905569,2751.585195692767,976.2527134456329,339.66039702584465,1069.391806802096,3176.611311769417,755.1813287611253,1243.371960410971,592.8242588919857,1310.8097854109003,273.27167456306995,1368.6251927717283,2303.1567410073008,682.2082793279399,1229.4948485677137,3106.0231017793863,649.6963113499659,400.7569071056111,1768.5085166780918
LA,517.9584557906741,523.8487992605575,1946.4269345570024,2646.838910412652,1587.7544692689735,2057.3400501137276,1743.4098442080256,975.6571854828816,776.1553819661799,1249.7158197280237,2596.659523461686,1219.5907370409896,1167.938809500839,961.7785253207967,1013.2453921392644,0.0,2209.1651863198617,1637.1362192385602,2390.257009303371,1484.1547259544943,1606.768901111104,881.1256334452237,231.55573470022108,2447.6852759616563,1204.6486743480277,1909.1736579607227,1244.4569485833963,2253.0382191818,1873.8190084539074,1495.4954962856991,2428.1543429181247,1937.0302904281887,1352.012573757912,752.0746936921631,3139.6368494676094,1696.1092402923955,2171.2084414919905,1047.9392195097355,1595.820237958914,768.8357402522211,552.4016065018657,2150.013494758234,1506.3451168684903,2221.1311525286574,3167.1540511119665,1446.6543714020813,1338.7784098487343,1772.9303678572733
MA,1699.3062869036296,2025.558029087139,3673.822213243791,4179.885465018428,2846.83034270533,151.96436501817794,474.36606105681574,1836.7558005111903,1469.3108732322755,1779.055650739824,3558.4129494621484,1424.7696783920364,1274.66943994869,2113.3985639721163,1269.870188841435,2209.1651863198617,0.0,575.6003572537604,211.64795476083106,1047.654253462616,1796.1932082203723,1822.0520455322096,1977.6278050967933,3174.7144723097094,1053.614140438574,2191.8942034055017,2084.008449364636,81.36970293061839,339.3518512606562,3170.4704502300556,3880.7695556150347,299.3277999633367,970.898840744087,2323.9001449862817,4097.340594788186,518.8760914396593,57.74332030047153,1243.3705620063063,2267.2063324373985,1453.3234131857632,2631.176631901571,3374.1050363122863,724.2853872287177,291.9374337149286,3953.1210853674543,1423.0933196292074,882.803249666405,2812.4690120379737
MD,1124.7231263074343,1493.1091656093345,3200.9697287613853,3758.6500905550374,2432.7757201690615,423.9480434086719,108.27549088415313,1314.0599560055603,894.3079562857376,1390.9964436807606,3245.800648986073,1019.5666877990823,826.3305671700542,1649.8603229981675,747.4799661542204,1637.1362192385602,575.6003572537604,0.0,770.2040140978689,721.154764622252,1510.4133512183507,1344.7392146002312,1405.6469292013924,2898.996836926756,488.44543798809116,1945.0549509062216,1680.132329971156,628.2459509160252,237.10513543298006,2693.5021801965463,3469.671137705859,343.6577326033089,527.3936682776332,1816.7760506513844,3805.4330880818266,136.63558572279877,534.696674170012,680.0090810332603,1928.5995565741675,892.2266360207983,2077.711817098988,2994.6157117997996,163.5095320232486,664.2170614877572,3697.9973711087573,1103.0891774519982,347.1565341724244,2441.7847953014616
ME,1885.8930176864246,2177.559504178717,3785.5449877963197,4264.509652209868,2935.412633676954,351.4520421964299,674.5082762370839,2047.285074255272,1663.5781739835888,1870.1636478511837,3598.7773943949715,1531.0724565194369,1401.4340953034703,2230.8057352165238,1425.6961814127544,2390.257009303371,211.64795476083106,770.2040140978689,0.0,1143.192890767281,1847.7684475660376,1949.1687367688498,2159.1706948203914,3202.969628043366,1255.0206792129616,2220.6214428885605,2176.277281003249,142.77059133689207,539.2550336945603,3286.4663424533305,3961.937753562863,454.00861075452303,1108.3765761624734,2460.2138219084504,4126.101056943533,694.331404682138,267.65966447346415,1445.8738569350126,2330.4297785248687,1627.1276741519664,2793.732154393847,3443.8764531104102,925.0481915933045,256.78106317001783,3967.833530052773,1498.3441335697662,1053.6324155639745,2882.6687661195765
MI,1088.7082004014485,1123.8885775833253,2642.853719107532,3132.309780050673,1799.4907759922817,932.6442368488968,789.8194649378125,1624.3539672243523,1002.243101576236,731.5973665681043,2543.7027427303046,390.43962152141296,320.5726585530705,1093.9588985273947,499.71267571568603,1484.1547259544943,1047.654253462616,721.154764622252,1143.192890767281,0.0,791.8253698722756,830.3441421389199,1278.1956885427771,2184.3825542472846,861.5498968129078,1224.0253000961607,1037.088529078321,1045.2600990189726,836.1204129355636,2145.6437459917825,2833.1733715039513,758.4352970794245,258.6819023525864,1350.1612519070277,3097.2855639318896,638.2638049080447,1043.216854423163,978.8938192609995,1233.1864361669795,772.9633903831007,1759.2955923554139,2330.2265591951195,767.6992775675333,902.5588377311683,2980.882269004146,389.3062267550012,494.27580870333503,1769.4807526935633
MN,1445.380544588708,1092.7311585300176,2063.321552611371,2442.433235555205,1148.3519058271536,1700.1100055274692,1581.6396133579926,2138.2405553807516,1501.4372339898305,357.05776831460923,1763.298636923654,569.2138795084097,777.7678130581309,752.662084900166,1008.2967848065855,1606.768901111104,1796.1932082203723,1510.4133512183507,1847.7684475660376,791.8253698722756,0.0,725.7375501775743,1484.8900405840059,1393.4418127252704,1546.9230246563538,441.7040474342994,502.5449177412128,1777.1362425253221,1623.2160011512417,1612.7346533788202,2135.428849639353,1526.3729318630906,1001.8789310273247,1085.0074342869239,2309.9387832026737,1429.742466668988,1802.0347490990325,1600.8513230722544,491.1083050816856,1197.2137990228273,1618.499228470723,1603.2818396924256,1538.5143203612963,1591.5947074906896,2189.0570697783673,408.43851796471637,1238.4783126850314,1046.8898598015737
MO,787.740489006411,375.34223319707326,1859.0401960142722,2422.4545342239744,1116.6626943797148,1686.1194827945224,1446.0627647956508,1512.0139822221026,926.8916450422827,368.77550969785085,2038.8778218948107,452.275868920798,548.3657428989491,307.7911967607829,610.8774543267225,881.1256334452237,1822.0520455322096,1344.7392146002312,1949.1687367688498,830.3441421389199,725.7375501775743,0.0,768.6812670204833,1778.5915578925133,1146.9946055442317,1058.589775916588,452.1130435397791,1836.0125123728017,1541.7785293905727,1352.573581802482,2141.053231983444,1522.725050201012,851.9316647529726,519.8869166055676,2608.435087623336,1329.334493368711,1804.5218156760604,1117.9927680237224,807.9409862504086,636.9394646813089,972.646273432857,1702.7173842336492,1292.2098417895595,1721.5236040157718,2564.3593251369775,625.992981651229,999.5492793933481,1185.3109432360047
MS,290.6926597964059,470.3127820460552,2089.7191676123502,2770.9553815011686,1632.940801058404,1825.7944462726648,1512.0138009966083,863.6170508969192,553.8358826097749,1131.9790855741392,2635.3522616497194,1045.179337999539,968.2175478717934,920.0678800451914,795.0402882484682,231.55573470022108,1977.6278050967933,1405.6469292013924,2159.1706948203914,1278.1956885427771,1484.8900405840059,768.6812670204833,0.0,2449.088138643634,977.9805099982202,1824.6432185168253,1181.1414874394022,2021.7232405879433,1642.2892711195295,1616.1474120022149,2535.688793469387,1706.177618453383,1131.2434286179534,787.8891975790586,3190.623206288836,1464.9231402473672,1939.6616582698857,828.179844251867,1541.9616409029957,541.5898509966596,737.2809699243552,2214.0365088222634,1275.782520683081,1992.3270950891751,3196.174473974194,1279.1149241874396,1108.583954426657,1790.7444672789593
